cell,x,y,Ash,Basswood,Beech,Birch,Cedar.juniper,Cherry,Elm,Fir,Hemlock,Hickory,Maple,Oak,Other.hardwoods,Pine,Poplar,Spruce,Tamarack,Tulip.poplar,Walnut,Total
2387,77000,1430000,0.333761204,0,0,0.108882933,0.190063531,0,0.041855488,0.114019809,0,0,0.122387025,0.534966387,0,0.314611594,0.95377645,0.181652673,0.176339784,0,0,1.263889408
2388,85000,1430000,0.329938589,0,0,0.120682139,0.224142911,0,0.037743404,0.122732779,0,0,0.110822148,0.440796131,0,0.372958138,0.932288895,0.196382665,0.200770749,0,0,1.233361927
2389,93000,1430000,0.304988134,0,0,0.128900132,0.254536128,0,0.033505449,0.12900694,0,0,0.098363899,0.333235995,0,0.425038403,0.884777267,0.20622142,0.220280546,0,0,1.212651825
2391,109000,1430000,0.269367694,0,0,0.143450534,0.333447743,0,0.027093566,0.14183037,0,0,0.080586765,0.194526223,0,0.559741437,0.831019714,0.22579245,0.260443313,0,0,1.193362809
2392,117000,1430000,0.266734337,0,0,0.149167677,0.389057172,0,0.024758949,0.147852831,0,0,0.075160248,0.156419929,0,0.621094096,0.826977316,0.23673724,0.281653195,0,0,1.192386479
2393,125000,1430000,0.277656465,0,0,0.153778515,0.462287788,0,0.022914042,0.153673006,0,0,0.071821767,0.132373241,0,0.663025561,0.842165542,0.250768274,0.306194526,0,0,1.195716294
2395,141000,1430000,0.334646362,0,0,0.155783095,0.666300517,0,0.020116819,0.163165473,0,0,0.069202697,0.10776373,0,0.643928253,0.921667426,0.292368519,0.367116354,0,0,1.214402326
2396,149000,1430000,0.387024967,0,0,0.15636244,0.835524055,0,0.019109876,0.16983608,0,0,0.069662349,0.102560396,0,0.617595029,0.992756684,0.326122879,0.414181368,0,0,1.228188127
2397,157000,1430000,0.424000215,0,0,0.151418511,0.987028367,0,0.017913273,0.171134595,0,0,0.069160522,0.094181331,0,0.551899752,1.014433159,0.352568197,0.435423212,0,0,1.244153682
2676,21000,1422000,0.351650663,0,0,0,0,0,0.104448047,0.081860895,0,0,0.39651484,1.500134393,0,0,1.244448167,0.11880659,0.09462791,0,0,1.884707352
2678,37000,1422000,0.302775535,0,0,0.075387601,0,0,0.07832436,0.083700924,0,0,0.255141286,1.204008413,0,0,1.106712324,0.125408015,0.101148929,0,0,1.609767387
2679,45000,1422000,0.296043418,0,0,0.077456038,0,0,0.068617928,0.086280198,0,0,0.209826798,1.062381676,0,0,1.05675465,0.130315487,0.107179866,0,0,1.494329628
2680,53000,1422000,0.30123704,0,0,0.081183719,0,0,0.060928852,0.090433504,0,0,0.176880546,0.934771805,0,0,1.025601856,0.136963594,0.11633181,0,0,1.39795006
2682,69000,1422000,0.323413281,0,0,0.095657918,0.143960496,0,0.049076362,0.102343705,0,0,0.134751548,0.697331291,0,0.255491075,0.983794283,0.156637272,0.146234708,0,0,1.265038269
2683,77000,1422000,0.318442062,0,0,0.10467201,0.162188324,0,0.043768853,0.10867931,0,0,0.119582588,0.570625777,0,0.29255696,0.943953436,0.167599802,0.164043853,0,0,1.224619587
2684,85000,1422000,0.30107048,0.127410042,0,0.114040532,0.185710972,0,0.038948489,0.115436981,0,0,0.10611571,0.446339788,0,0.340503647,0.900655329,0.178586271,0.18350638,0,0,1.196075674
2686,101000,1422000,0.2482563,0.101924819,0,0.129402294,0.238302063,0,0.030624205,0.127147014,0,0,0.08351197,0.245501014,0,0.457214698,0.800905218,0.195366341,0.216363779,0,0,1.156732521
2687,109000,1422000,0.234704565,0.092184431,0,0.137318419,0.276395093,0,0.02761093,0.133936373,0,0,0.076087364,0.188635776,0,0.53747407,0.778275805,0.204892245,0.234229107,0,0,1.141906938
2688,117000,1422000,0.233996971,0.084516792,0,0.144973017,0.329294137,0,0.025257455,0.140983212,0,0,0.071037718,0.151848327,0,0.622447761,0.777449481,0.216287331,0.255471838,0,0,1.130400824
2689,125000,1422000,0.247772019,0.079175286,0,0.151677027,0.402951086,0,0.023455416,0.147840823,0,0,0.068079032,0.129007274,0,0.696866472,0.799419469,0.230619574,0.281854496,0,0,1.12385757
2690,133000,1422000,0.272235571,0.07566228,0,0.154786226,0.491087482,0,0.021971311,0.152932322,0,0,0.066418261,0.11431274,0,0.723289004,0.83415237,0.246922116,0.309043658,0,0,1.123116811
2691,141000,1422000,0.293119422,0.071433311,0,0.148246828,0.559850855,0,0.020381688,0.151906724,0,0,0.064547257,0.101820042,0,0.644079783,0.852860567,0.25891554,0.321932201,0,0,1.128729083
2692,149000,1422000,0.331801399,0,0,0.143700692,0.668802352,0,0.019165381,0.153775809,0,0,0.064136902,0.094788146,0,0.58011515,0.900050118,0.280858253,0.349137825,0,0,1.140054267
2693,157000,1422000,0.373470415,0,0,0.13914997,0.801583749,0,0.018063719,0.155494531,0,0,0.064129979,0.088026003,0,0.516130013,0.934394587,0.305854479,0.374211478,0,0,1.156164625
2971,13000,1414000,0.411612732,0,0,0,0,0,0.133714139,0.079145968,0,0,0.546755413,1.901685167,0,0,1.361972432,0.112541636,0.088586816,0,0,1.959355965
