cell,x,y,Ash,Basswood,Beech,Birch,Cedar.juniper,Cherry,Elm,Fir,Hemlock,Hickory,Maple,Oak,Other.hardwood,Pine,Poplar,Spruce,Tamarack,Tulip.poplar,Walnut,Total
2682,69000,1422000,4.647286419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.224871436,NA,NA,NA,NA,3.436078928
2683,77000,1422000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2684,85000,1422000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2686,101000,1422000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2687,109000,1422000,NA,NA,NA,5.78117616,16.17043441,NA,NA,4.876594046,NA,NA,NA,NA,NA,NA,11.61746973,NA,NA,NA,NA,10.01262881
2688,117000,1422000,NA,NA,NA,2.805214831,NA,NA,3.205670979,NA,NA,NA,NA,NA,NA,NA,9.285556376,NA,NA,NA,NA,6.145499641
2689,125000,1422000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.76778955,NA,2.231610005,NA,NA,23.49969978
2690,133000,1422000,2.954968223,NA,NA,5.611810073,NA,NA,NA,24.17382736,NA,NA,NA,NA,NA,5.560679484,38.34502295,10.75850808,2.838542679,NA,NA,18.54815608
2691,141000,1422000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2692,149000,1422000,NA,NA,NA,NA,8.483640751,NA,NA,2.132030043,NA,NA,NA,NA,NA,NA,4.450865185,NA,1.803872142,NA,NA,4.21760203
2693,157000,1422000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.224871436,NA,NA,NA,NA,2.224871436
2694,165000,1422000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.353432776,NA,NA,NA,NA,NA
2971,13000,1414000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.037182163,NA,NA,NA,NA,NA,NA,NA,NA,3.037182163
2973,29000,1414000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.46285073,NA,NA,NA,NA,12.46285073
