"x","y","cell","avg_biomass_by_plot","count"
237000,1374000,4479,97.634934032517,2
245000,1374000,4480,10.4218179526949,1
253000,1374000,4481,14.5254503271141,1
261000,1374000,4482,62.3463481035666,2
269000,1374000,4483,21.5798472274686,2
277000,1374000,4484,47.2775078952557,2
285000,1374000,4485,33.4142927218822,3
301000,1374000,4487,39.818367458571,1
29000,1366000,4749,26.5385882984675,1
85000,1366000,4756,23.688814062126,1
93000,1366000,4757,NA,0
101000,1366000,4758,2.78569044575284,1
109000,1366000,4759,13.4422793047305,1
117000,1366000,4760,23.5022968385858,2
125000,1366000,4761,7.89196044877258,1
149000,1366000,4764,NA,0
157000,1366000,4765,NA,0
165000,1366000,4766,2.17536256064421,1
173000,1366000,4767,NA,0
181000,1366000,4768,1.753950350284,1
189000,1366000,4769,21.2945667271949,3
197000,1366000,4770,32.5065954769631,2
205000,1366000,4771,46.2281700916607,5
213000,1366000,4772,63.2872233601946,2
221000,1366000,4773,50.7281554969196,3
229000,1366000,4774,2.63860466565197,1
237000,1366000,4775,20.1425467727247,2
245000,1366000,4776,13.0486030125672,1
253000,1366000,4777,20.5911457602195,2
261000,1366000,4778,59.6404506609124,2
269000,1366000,4779,26.628563138456,2
277000,1366000,4780,74.9062320705174,1
285000,1366000,4781,28.5990147264179,2
293000,1366000,4782,60.0209115243021,3
301000,1366000,4783,49.1552254992477,1
309000,1366000,4784,59.6815677703427,1
-27000,1358000,5038,NA,0
29000,1358000,5045,20.2129817908235,1
37000,1358000,5046,17.3412770281168,1
77000,1358000,5051,NA,0
85000,1358000,5052,NA,0
93000,1358000,5053,8.95192050605035,1
101000,1358000,5054,42.8896074421312,3
109000,1358000,5055,7.00907404256007,3
117000,1358000,5056,67.9941867797014,4
125000,1358000,5057,30.363495571499,3
133000,1358000,5058,16.212929561217,3
141000,1358000,5059,NA,0
149000,1358000,5060,NA,0
157000,1358000,5061,NA,0
165000,1358000,5062,17.3329396969033,2
173000,1358000,5063,NA,0
181000,1358000,5064,19.0348518243458,2
189000,1358000,5065,46.590739563458,1
197000,1358000,5066,23.9853331335416,1
205000,1358000,5067,18.054411063807,3
213000,1358000,5068,36.7426439013837,4
221000,1358000,5069,81.7664605356968,2
229000,1358000,5070,52.8320151801101,3
237000,1358000,5071,21.109911166759,2
245000,1358000,5072,3.46866333763446,1
253000,1358000,5073,53.7760464259694,3
261000,1358000,5074,16.7437315468147,1
269000,1358000,5075,36.4796088353717,3
277000,1358000,5076,61.1726831814641,1
285000,1358000,5077,31.7838970314516,4
293000,1358000,5078,45.9816615761494,3
301000,1358000,5079,53.4959259882705,2
309000,1358000,5080,14.7384450519292,1
317000,1358000,5081,29.1152896338679,2
-19000,1350000,5335,62.3540382667477,1
13000,1350000,5339,NA,0
21000,1350000,5340,63.7261433792749,3
29000,1350000,5341,90.6214422429754,2
53000,1350000,5344,112.328517827211,1
69000,1350000,5346,15.0387304513368,1
77000,1350000,5347,NA,0
93000,1350000,5349,88.1008567874337,3
101000,1350000,5350,13.4299490675808,2
109000,1350000,5351,12.175748195941,1
117000,1350000,5352,10.4643336073291,5
125000,1350000,5353,42.9217681042562,2
133000,1350000,5354,42.1507446155832,1
165000,1350000,5358,55.4951865627909,1
173000,1350000,5359,NA,0
181000,1350000,5360,NA,0
189000,1350000,5361,28.3632748418716,2
197000,1350000,5362,17.1875003806448,2
205000,1350000,5363,12.3241887584234,2
213000,1350000,5364,42.4662440661579,2
