"STATECD","CN","x","y","cell"
27,242381690010661,117000,1374000,4464
27,15741741020004,117000,1374000,4464
27,221343914010661,117000,1374000,4464
27,15741739020004,125000,1374000,4465
27,221348650010661,125000,1374000,4465
27,169107425010661,133000,1374000,4466
27,169103929010661,133000,1374000,4466
27,242379272010661,141000,1374000,4467
27,169103719010661,141000,1374000,4467
27,242381580010661,141000,1374000,4467
27,242379411010661,149000,1374000,4468
27,221344174010661,149000,1374000,4468
27,169107181010661,149000,1374000,4468
27,242379409010661,149000,1374000,4468
27,169107177010661,149000,1374000,4468
27,108303331010661,149000,1374000,4468
27,15739699020004,157000,1374000,4469
27,108298111010661,157000,1374000,4469
27,221348482010661,157000,1374000,4469
27,169107175010661,165000,1374000,4470
27,15739737020004,165000,1374000,4470
27,108297811010661,173000,1374000,4471
27,169104819010661,173000,1374000,4471
27,15739735020004,181000,1374000,4472
27,242379475010661,181000,1374000,4472
27,169103257010661,189000,1374000,4473
27,242382120010661,189000,1374000,4473
27,15741580020004,197000,1374000,4474
27,242379598010661,197000,1374000,4474
27,15739619020004,197000,1374000,4474
27,221348096010661,197000,1374000,4474
27,108299824010661,197000,1374000,4474
27,242379596010661,205000,1374000,4475
27,242382113010661,205000,1374000,4475
27,169106799010661,205000,1374000,4475
27,221344554010661,205000,1374000,4475
27,108302812010661,205000,1374000,4475
27,15739943020004,205000,1374000,4475
27,242381267010661,213000,1374000,4476
27,169104805010661,213000,1374000,4476
27,108297154010661,213000,1374000,4476
27,221347872010661,213000,1374000,4476
27,169106609010661,221000,1374000,4477
27,108302497010661,221000,1374000,4477
27,15739941020004,221000,1374000,4477
27,221344756010661,221000,1374000,4477
27,242379688010661,221000,1374000,4477
27,108302488010661,229000,1374000,4478
27,221344750010661,229000,1374000,4478
27,169103115010661,229000,1374000,4478
27,108297145010661,229000,1374000,4478
27,108296941010661,237000,1374000,4479
27,169106397010661,237000,1374000,4479
27,15739939020004,237000,1374000,4479
27,108305480010661,245000,1374000,4480
27,221344938010661,245000,1374000,4480
27,15741219020004,245000,1374000,4480
27,15739972020004,253000,1374000,4481
27,242381197010661,253000,1374000,4481
27,242379796010661,253000,1374000,4481
27,169102852010661,261000,1374000,4482
27,15739970020004,261000,1374000,4482
27,169108633010661,261000,1374000,4482
27,242379794010661,261000,1374000,4482
27,108302230010661,261000,1374000,4482
27,15740075020004,269000,1374000,4483
27,15741272020004,269000,1374000,4483
27,221347654010661,269000,1374000,4483
27,108296602010661,269000,1374000,4483
27,221345142010661,269000,1374000,4483
27,242381086010661,269000,1374000,4483
27,221347510010661,277000,1374000,4484
27,242379894010661,277000,1374000,4484
27,108301915010661,285000,1374000,4485
27,15741270020004,285000,1374000,4485
27,221345138010661,285000,1374000,4485
27,242381084010661,285000,1374000,4485
27,108296596010661,285000,1374000,4485
27,242380991010661,301000,1374000,4487
27,15741686020004,29000,1366000,4749
27,221343784010661,85000,1366000,4756
27,169107661010661,93000,1366000,4757
27,15739166020004,93000,1366000,4757
27,108303973010661,93000,1366000,4757
27,15741837020004,101000,1366000,4758
27,108298750010661,101000,1366000,4758
27,108298744010661,109000,1366000,4759
27,15739164020004,109000,1366000,4759
27,169103939010661,117000,1366000,4760
27,221343916010661,117000,1366000,4760
27,221348654010661,117000,1366000,4760
27,15741742020004,125000,1366000,4761
27,169103935010661,125000,1366000,4761
27,108298471010661,125000,1366000,4761
27,242381581010661,149000,1366000,4764
27,15738905020004,149000,1366000,4764
27,108298120010661,157000,1366000,4765
27,15741094020004,157000,1366000,4765
27,221348266010661,165000,1366000,4766
27,169103491010661,165000,1366000,4766
27,108297820010661,165000,1366000,4766
27,221344356010661,173000,1366000,4767
27,15739736020004,181000,1366000,4768
27,15741006020004,181000,1366000,4768
27,242379476010661,181000,1366000,4768
27,221344558010661,189000,1366000,4769
27,169106807010661,189000,1366000,4769
27,221348098010661,189000,1366000,4769
27,242379600010661,189000,1366000,4769
27,15739620020004,189000,1366000,4769
27,169103249010661,197000,1366000,4770
27,242381376010661,197000,1366000,4770
27,15741665020004,197000,1366000,4770
27,169106801010661,205000,1366000,4771
27,15739617020004,205000,1366000,4771
27,242379597010661,205000,1366000,4771
27,15741582020004,205000,1366000,4771
27,221344556010661,205000,1366000,4771
27,242381374010661,205000,1366000,4771
27,221348092010661,205000,1366000,4771
27,15741606020004,213000,1366000,4772
27,221344758010661,213000,1366000,4772
27,169103119010661,213000,1366000,4772
27,242379689010661,221000,1366000,4773
27,108299791010661,221000,1366000,4773
27,169104785010661,221000,1366000,4773
27,169106611010661,221000,1366000,4773
27,15741605020004,221000,1366000,4773
27,15739942020004,221000,1366000,4773
27,108302494010661,229000,1366000,4774
27,221344754010661,229000,1366000,4774
27,242379686010661,229000,1366000,4774
27,221347864010661,237000,1366000,4775
27,169106605010661,237000,1366000,4775
27,242381265010661,237000,1366000,4775
27,242379797010661,245000,1366000,4776
27,15739995020004,245000,1366000,4776
27,221344940010661,245000,1366000,4776
27,169106395010661,245000,1366000,4776
27,221344936010661,253000,1366000,4777
27,221349896010661,253000,1366000,4777
27,108296944010661,253000,1366000,4777
27,15741218020004,253000,1366000,4777
27,242381198010661,253000,1366000,4777
27,242381089010661,261000,1366000,4778
27,242379795010661,261000,1366000,4778
27,221347656010661,261000,1366000,4778
27,108296611010661,261000,1366000,4778
27,169106195010661,269000,1366000,4779
27,169102666010661,269000,1366000,4779
27,221345146010661,269000,1366000,4779
27,15742334020004,269000,1366000,4779
27,108301924010661,269000,1366000,4779
27,15740076020004,277000,1366000,4780
27,242379896010661,277000,1366000,4780
27,108299731010661,285000,1366000,4781
27,242379893010661,285000,1366000,4781
27,169102662010661,285000,1366000,4781
27,169106191010661,285000,1366000,4781
27,15741599020004,293000,1366000,4782
27,242380994010661,293000,1366000,4782
27,108296332010661,293000,1366000,4782
27,169102438010661,293000,1366000,4782
27,108301597010661,301000,1366000,4783
27,221345402010661,301000,1366000,4783
27,15739557020004,309000,1366000,4784
27,108304772010661,-27000,1358000,5038
27,242378957010661,29000,1358000,5045
27,221343320010661,29000,1358000,5045
27,15739216020004,37000,1358000,5046
27,108304226010661,77000,1358000,5051
27,108303979010661,85000,1358000,5052
27,221348890010661,93000,1358000,5053
27,15739168020004,93000,1358000,5053
27,15739326020004,101000,1358000,5054
27,221348660010661,101000,1358000,5054
27,221343786010661,101000,1358000,5054
27,108303976010661,101000,1358000,5054
27,169103943010661,109000,1358000,5055
27,242381771010661,109000,1358000,5055
27,15741778020004,109000,1358000,5055
27,15741744020004,109000,1358000,5055
27,242379276010661,117000,1358000,5056
27,15739010020004,117000,1358000,5056
27,221349572010661,117000,1358000,5056
27,169107431010661,117000,1358000,5056
27,108303706010661,117000,1358000,5056
27,169107433010661,125000,1358000,5057
27,108298474010661,125000,1358000,5057
27,15741743020004,125000,1358000,5057
27,221344188010661,125000,1358000,5057
27,108303352010661,125000,1358000,5057
27,242379415010661,133000,1358000,5058
27,15739701020004,133000,1358000,5058
27,221348486010661,133000,1358000,5058
27,108298132010661,133000,1358000,5058
27,15741127020004,133000,1358000,5058
27,108303346010661,141000,1358000,5059
27,221344184010661,141000,1358000,5059
27,242379412010661,149000,1358000,5060
27,242381582010661,149000,1358000,5060
27,221348484010661,149000,1358000,5060
27,242379478010661,157000,1358000,5061
27,15741634020004,165000,1358000,5062
27,108297823010661,165000,1358000,5062
27,15741635020004,165000,1358000,5062
27,221348264010661,173000,1358000,5063
27,169107021010661,173000,1358000,5063
27,108304988010661,173000,1358000,5063
27,108303049010661,181000,1358000,5064
27,221344358010661,181000,1358000,5064
27,108297814010661,181000,1358000,5064
27,169103487010661,181000,1358000,5064
27,242381483010661,181000,1358000,5064
27,242381377010661,189000,1358000,5065
27,169106809010661,189000,1358000,5065
27,242379601010661,189000,1358000,5065
27,15738925020004,189000,1358000,5065
27,15741007020004,189000,1358000,5065
27,169106805010661,197000,1358000,5066
27,169103255010661,197000,1358000,5066
27,108302821010661,197000,1358000,5066
27,221344560010661,197000,1358000,5066
27,108297493010661,197000,1358000,5066
27,242381375010661,205000,1358000,5067
27,15741664020004,205000,1358000,5067
27,108297487010661,205000,1358000,5067
27,15739618020004,205000,1358000,5067
